Measure.Date,Calib.Date,Exposure,Tank,Treatment,Temperature,pH.MV,Salinity,TA,Notes
20161002,20161002,Exposure1,A1,Ambient,14.5,-47.5,29.3,,
20161002,20161002,Exposure1,A2,Ambient,14.55,-46.7,29.3,,
20161002,20161002,Exposure1,A3,Ambient,14.55,-47.2,29.3,,
20161002,20161002,Exposure1,A4,Ambient,14.52,-47.1,29.2,,
20161002,20161002,Exposure1,B1,Ambient,14.55,-48,29.2,,
20161002,20161002,Exposure1,B2,Ambient,14.51,-47.8,29.3,,
20161002,20161002,Exposure1,B3,Ambient,14.57,-48,29.2,,
20161002,20161002,Exposure1,B4,Ambient,14.54,-48.8,29.3,,
20161002,20161002,Exposure1,Header1,Ambient,14.74,-55.3,29.4,,
20161002,20161002,Exposure1,Header2,Ambient,14.64,-55.7,29.4,,
