Measure.Date,Calib.Date,Exposure,Tank,Treatment,Temperature,pH.MV,Salinity,TA,Notes
20161118,20161118,Exposure1,A1,Ambient,12.25,-52.3,29,,
20161118,20161118,Exposure1,A2,Ambient,12.26,-52.2,29,,
20161118,20161118,Exposure1,A3,Ambient,12.42,-51.5,29.1,,
20161118,20161118,Exposure1,A4,Ambient,12.53,-51.5,29.2,,
20161118,20161118,Exposure1,B1,low_pH,12.25,-32.1,29.1,,
20161118,20161118,Exposure1,B2,low_pH,12.38,-32.3,29.1,,
20161118,20161118,Exposure1,B3,low_pH,12.65,-32.5,29.2,,
20161118,20161118,Exposure1,B4,low_pH,12.36,-31.1,29.2,,
20161118,20161118,Exposure1,Header1,Ambient,13.16,-54.8,29.6,,
20161118,20161118,Exposure1,Header2,low_pH,13.23,-31.6,29.7,,
